song,performer,chart_instances,time_on_chart,peak_position,worst_position
"1, 2, 3, Red Light",1910 Fruitgum Co.,"[{""chart_position"": 84, ""chart_date"": ""1968-07-27""}, {""chart_position"": 53, ""chart_date"": ""1968-08-03""}, {""chart_position"": 39, ""chart_date"": ""1968-08-10""}, {""chart_position"": 32, ""chart_date"": ""1968-08-17""}, {""chart_position"": 22, ""chart_date"": ""1968-08-24""}, {""chart_position"": 12, ""chart_date"": ""1968-08-31""}, {""chart_position"": 7, ""chart_date"": ""1968-09-07""}, {""chart_position"": 5, ""chart_date"": ""1968-09-14""}, {""chart_position"": 5, ""chart_date"": ""1968-09-21""}, {""chart_position"": 7, ""chart_date"": ""1968-09-28""}, {""chart_position"": 9, ""chart_date"": ""1968-10-05""}, {""chart_position"": 23, ""chart_date"": ""1968-10-12""}, {""chart_position"": 28, ""chart_date"": ""1968-10-19""}]",13,5,84
"1,000 Laughs",Eloise Laws,"[{""chart_position"": 97, ""chart_date"": ""1978-01-14""}, {""chart_position"": 95, ""chart_date"": ""1978-01-21""}, {""chart_position"": 93, ""chart_date"": ""1978-01-28""}, {""chart_position"": 92, ""chart_date"": ""1978-02-04""}, {""chart_position"": 92, ""chart_date"": ""1978-02-11""}, {""chart_position"": 91, ""chart_date"": ""1978-02-18""}]",6,91,97
1-2-3,Gloria Estefan & Miami Sound Machine,"[{""chart_position"": 76, ""chart_date"": ""1988-06-04""}, {""chart_position"": 59, ""chart_date"": ""1988-06-11""}, {""chart_position"": 46, ""chart_date"": ""1988-06-18""}, {""chart_position"": 40, ""chart_date"": ""1988-06-25""}, {""chart_position"": 28, ""chart_date"": ""1988-07-02""}, {""chart_position"": 24, ""chart_date"": ""1988-07-09""}, {""chart_position"": 19, ""chart_date"": ""1988-07-16""}, {""chart_position"": 11, ""chart_date"": ""1988-07-23""}, {""chart_position"": 8, ""chart_date"": ""1988-07-30""}, {""chart_position"": 6, ""chart_date"": ""1988-08-06""}, {""chart_position"": 5, ""chart_date"": ""1988-08-13""}, {""chart_position"": 3, ""chart_date"": ""1988-08-20""}, {""chart_position"": 10, ""chart_date"": ""1988-08-27""}, {""chart_position"": 18, ""chart_date"": ""1988-09-03""}, {""chart_position"": 31, ""chart_date"": ""1988-09-10""}, {""chart_position"": 37, ""chart_date"": ""1988-09-17""}, {""chart_position"": 51, ""chart_date"": ""1988-09-24""}, {""chart_position"": 68, ""chart_date"": ""1988-10-01""}, {""chart_position"": 94, ""chart_date"": ""1988-10-08""}]",19,3,94
1-2-3,Len Barry,"[{""chart_position"": 93, ""chart_date"": ""1965-09-25""}, {""chart_position"": 77, ""chart_date"": ""1965-10-02""}, {""chart_position"": 61, ""chart_date"": ""1965-10-09""}, {""chart_position"": 48, ""chart_date"": ""1965-10-16""}, {""chart_position"": 19, ""chart_date"": ""1965-10-23""}, {""chart_position"": 10, ""chart_date"": ""1965-10-30""}, {""chart_position"": 8, ""chart_date"": ""1965-11-06""}, {""chart_position"": 3, ""chart_date"": ""1965-11-13""}, {""chart_position"": 2, ""chart_date"": ""1965-11-20""}, {""chart_position"": 3, ""chart_date"": ""1965-11-27""}, {""chart_position"": 3, ""chart_date"": ""1965-12-04""}, {""chart_position"": 7, ""chart_date"": ""1965-12-11""}, {""chart_position"": 15, ""chart_date"": ""1965-12-18""}, {""chart_position"": 27, ""chart_date"": ""1965-12-25""}, {""chart_position"": 41, ""chart_date"": ""1966-01-01""}]",15,2,93
1-2-3,The Chimes,"[{""chart_position"": 93, ""chart_date"": ""1990-02-03""}, {""chart_position"": 90, ""chart_date"": ""1990-02-10""}, {""chart_position"": 86, ""chart_date"": ""1990-02-17""}, {""chart_position"": 87, ""chart_date"": ""1990-02-24""}, {""chart_position"": 100, ""chart_date"": ""1990-03-03""}]",5,86,100
1-4-All-4-1,East Coast Family,"[{""chart_position"": 97, ""chart_date"": ""1992-08-22""}, {""chart_position"": 83, ""chart_date"": ""1992-08-29""}, {""chart_position"": 81, ""chart_date"": ""1992-09-05""}, {""chart_position"": 93, ""chart_date"": ""1992-09-12""}, {""chart_position"": 91, ""chart_date"": ""1992-09-19""}, {""chart_position"": 98, ""chart_date"": ""1992-09-26""}]",6,81,98
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,"[{""chart_position"": 61, ""chart_date"": ""2017-05-20""}, {""chart_position"": 47, ""chart_date"": ""2017-05-27""}, {""chart_position"": 64, ""chart_date"": ""2017-06-03""}, {""chart_position"": 63, ""chart_date"": ""2017-06-10""}, {""chart_position"": 62, ""chart_date"": ""2017-06-17""}, {""chart_position"": 65, ""chart_date"": ""2017-06-24""}, {""chart_position"": 68, ""chart_date"": ""2017-07-01""}, {""chart_position"": 68, ""chart_date"": ""2017-07-08""}, {""chart_position"": 64, ""chart_date"": ""2017-07-15""}, {""chart_position"": 64, ""chart_date"": ""2017-07-22""}, {""chart_position"": 61, ""chart_date"": ""2017-07-29""}, {""chart_position"": 55, ""chart_date"": ""2017-08-05""}, {""chart_position"": 57, ""chart_date"": ""2017-08-12""}, {""chart_position"": 52, ""chart_date"": ""2017-08-19""}, {""chart_position"": 50, ""chart_date"": ""2017-08-26""}, {""chart_position"": 37, ""chart_date"": ""2017-09-02""}, {""chart_position"": 29, ""chart_date"": ""2017-09-09""}, {""chart_position"": 9, ""chart_date"": ""2017-09-16""}, {""chart_position"": 5, ""chart_date"": ""2017-09-23""}, {""chart_position"": 3, ""chart_date"": ""2017-09-30""}, {""chart_position"": 4, ""chart_date"": ""2017-10-07""}, {""chart_position"": 4, ""chart_date"": ""2017-10-14""}, {""chart_position"": 4, ""chart_date"": ""2017-10-21""}, {""chart_position"": 3, ""chart_date"": ""2017-10-28""}, {""chart_position"": 3, ""chart_date"": ""2017-11-04""}, {""chart_position"": 3, ""chart_date"": ""2017-11-11""}, {""chart_position"": 4, ""chart_date"": ""2017-11-18""}, {""chart_position"": 6, ""chart_date"": ""2017-11-25""}, {""chart_position"": 8, ""chart_date"": ""2017-12-02""}, {""chart_position"": 13, ""chart_date"": ""2017-12-09""}, {""chart_position"": 14, ""chart_date"": ""2017-12-16""}, {""chart_position"": 19, ""chart_date"": ""2017-12-23""}, {""chart_position"": 22, ""chart_date"": ""2017-12-30""}, {""chart_position"": 34, ""chart_date"": ""2018-01-06""}, {""chart_position"": 33, ""chart_date"": ""2018-01-13""}, {""chart_position"": 44, ""chart_date"": ""2018-01-20""}, {""chart_position"": 45, ""chart_date"": ""2018-01-27""}, {""chart_position"": 46, ""chart_date"": ""2018-02-03""}, {""chart_position"": 33, ""chart_date"": ""2018-02-10""}, {""chart_position"": 40, ""chart_date"": ""2018-02-17""}, {""chart_position"": 45, ""chart_date"": ""2018-02-24""}]",41,3,68
1-Luv,E-40 (Featuring Leviti),"[{""chart_position"": 92, ""chart_date"": ""1995-02-25""}, {""chart_position"": 75, ""chart_date"": ""1995-03-04""}, {""chart_position"": 75, ""chart_date"": ""1995-03-11""}, {""chart_position"": 79, ""chart_date"": ""1995-03-18""}, {""chart_position"": 77, ""chart_date"": ""1995-03-25""}, {""chart_position"": 77, ""chart_date"": ""1995-04-01""}, {""chart_position"": 73, ""chart_date"": ""1995-04-08""}, {""chart_position"": 71, ""chart_date"": ""1995-04-15""}, {""chart_position"": 73, ""chart_date"": ""1995-04-22""}, {""chart_position"": 76, ""chart_date"": ""1995-04-29""}, {""chart_position"": 81, ""chart_date"": ""1995-05-06""}, {""chart_position"": 86, ""chart_date"": ""1995-05-13""}, {""chart_position"": 87, ""chart_date"": ""1995-05-20""}, {""chart_position"": 93, ""chart_date"": ""1995-05-27""}]",14,71,93
1.5,21 Savage,"[{""chart_position"": 86, ""chart_date"": ""2019-01-05""}]",1,86,86
10 Bands,Drake,"[{""chart_position"": 88, ""chart_date"": ""2015-02-28""}, {""chart_position"": 58, ""chart_date"": ""2015-03-07""}, {""chart_position"": 73, ""chart_date"": ""2015-03-14""}, {""chart_position"": 75, ""chart_date"": ""2015-03-21""}, {""chart_position"": 78, ""chart_date"": ""2015-03-28""}, {""chart_position"": 76, ""chart_date"": ""2015-04-04""}, {""chart_position"": 74, ""chart_date"": ""2015-04-11""}, {""chart_position"": 82, ""chart_date"": ""2015-04-18""}, {""chart_position"": 75, ""chart_date"": ""2015-04-25""}, {""chart_position"": 82, ""chart_date"": ""2015-05-02""}, {""chart_position"": 89, ""chart_date"": ""2015-05-09""}, {""chart_position"": 92, ""chart_date"": ""2015-05-16""}, {""chart_position"": 100, ""chart_date"": ""2015-05-23""}]",13,58,100
10 Freaky Girls,Metro Boomin Featuring 21 Savage,"[{""chart_position"": 42, ""chart_date"": ""2018-11-17""}, {""chart_position"": 56, ""chart_date"": ""2018-11-24""}, {""chart_position"": 63, ""chart_date"": ""2018-12-01""}, {""chart_position"": 70, ""chart_date"": ""2018-12-08""}]",4,42,70
10 Little Bottles,Johnny Bond,"[{""chart_position"": 96, ""chart_date"": ""1965-03-13""}, {""chart_position"": 85, ""chart_date"": ""1965-03-20""}, {""chart_position"": 70, ""chart_date"": ""1965-03-27""}, {""chart_position"": 60, ""chart_date"": ""1965-04-03""}, {""chart_position"": 55, ""chart_date"": ""1965-04-10""}, {""chart_position"": 45, ""chart_date"": ""1965-04-17""}, {""chart_position"": 43, ""chart_date"": ""1965-04-24""}, {""chart_position"": 65, ""chart_date"": ""1965-05-01""}]",8,43,96
"10,000 Hours",Dan + Shay & Justin Bieber,"[{""chart_position"": 4, ""chart_date"": ""2019-10-19""}, {""chart_position"": 11, ""chart_date"": ""2019-10-26""}, {""chart_position"": 10, ""chart_date"": ""2019-11-02""}, {""chart_position"": 12, ""chart_date"": ""2019-11-09""}, {""chart_position"": 10, ""chart_date"": ""2019-11-16""}, {""chart_position"": 10, ""chart_date"": ""2019-11-23""}, {""chart_position"": 9, ""chart_date"": ""2019-11-30""}, {""chart_position"": 8, ""chart_date"": ""2019-12-07""}, {""chart_position"": 10, ""chart_date"": ""2019-12-14""}, {""chart_position"": 14, ""chart_date"": ""2019-12-21""}, {""chart_position"": 13, ""chart_date"": ""2019-12-28""}, {""chart_position"": 17, ""chart_date"": ""2020-01-04""}, {""chart_position"": 9, ""chart_date"": ""2020-01-11""}, {""chart_position"": 5, ""chart_date"": ""2020-01-18""}, {""chart_position"": 7, ""chart_date"": ""2020-01-25""}, {""chart_position"": 6, ""chart_date"": ""2020-02-01""}, {""chart_position"": 6, ""chart_date"": ""2020-02-08""}, {""chart_position"": 8, ""chart_date"": ""2020-02-15""}, {""chart_position"": 9, ""chart_date"": ""2020-02-22""}, {""chart_position"": 13, ""chart_date"": ""2020-02-29""}, {""chart_position"": 16, ""chart_date"": ""2020-03-07""}, {""chart_position"": 20, ""chart_date"": ""2020-03-14""}, {""chart_position"": 27, ""chart_date"": ""2020-03-21""}, {""chart_position"": 22, ""chart_date"": ""2020-03-28""}, {""chart_position"": 19, ""chart_date"": ""2020-04-04""}, {""chart_position"": 28, ""chart_date"": ""2020-04-11""}, {""chart_position"": 34, ""chart_date"": ""2020-04-18""}, {""chart_position"": 34, ""chart_date"": ""2020-04-25""}, {""chart_position"": 41, ""chart_date"": ""2020-05-02""}, {""chart_position"": 46, ""chart_date"": ""2020-05-09""}]",30,4,46
10-9-8,Face To Face,"[{""chart_position"": 80, ""chart_date"": ""1984-06-02""}, {""chart_position"": 72, ""chart_date"": ""1984-06-09""}, {""chart_position"": 60, ""chart_date"": ""1984-06-16""}, {""chart_position"": 55, ""chart_date"": ""1984-06-23""}, {""chart_position"": 51, ""chart_date"": ""1984-06-30""}, {""chart_position"": 47, ""chart_date"": ""1984-07-07""}, {""chart_position"": 42, ""chart_date"": ""1984-07-14""}, {""chart_position"": 38, ""chart_date"": ""1984-07-21""}, {""chart_position"": 38, ""chart_date"": ""1984-07-28""}, {""chart_position"": 38, ""chart_date"": ""1984-08-04""}, {""chart_position"": 58, ""chart_date"": ""1984-08-11""}, {""chart_position"": 65, ""chart_date"": ""1984-08-18""}, {""chart_position"": 79, ""chart_date"": ""1984-08-25""}, {""chart_position"": 83, ""chart_date"": ""1984-09-01""}, {""chart_position"": 95, ""chart_date"": ""1984-09-08""}]",15,38,95
100 Grandkids,Mac Miller,"[{""chart_position"": 100, ""chart_date"": ""2015-08-29""}]",1,100,100
100 Years,Five For Fighting,"[{""chart_position"": 70, ""chart_date"": ""2004-02-14""}, {""chart_position"": 61, ""chart_date"": ""2004-02-21""}, {""chart_position"": 55, ""chart_date"": ""2004-02-28""}, {""chart_position"": 52, ""chart_date"": ""2004-03-06""}, {""chart_position"": 46, ""chart_date"": ""2004-03-13""}, {""chart_position"": 45, ""chart_date"": ""2004-03-20""}, {""chart_position"": 34, ""chart_date"": ""2004-03-27""}, {""chart_position"": 36, ""chart_date"": ""2004-04-03""}, {""chart_position"": 36, ""chart_date"": ""2004-04-10""}, {""chart_position"": 35, ""chart_date"": ""2004-04-17""}, {""chart_position"": 35, ""chart_date"": ""2004-04-24""}, {""chart_position"": 35, ""chart_date"": ""2004-05-01""}, {""chart_position"": 35, ""chart_date"": ""2004-05-08""}, {""chart_position"": 33, ""chart_date"": ""2004-05-15""}, {""chart_position"": 28, ""chart_date"": ""2004-05-22""}, {""chart_position"": 31, ""chart_date"": ""2004-05-29""}, {""chart_position"": 32, ""chart_date"": ""2004-06-05""}, {""chart_position"": 35, ""chart_date"": ""2004-06-12""}, {""chart_position"": 37, ""chart_date"": ""2004-06-19""}, {""chart_position"": 41, ""chart_date"": ""2004-06-26""}, {""chart_position"": 47, ""chart_date"": ""2004-07-03""}, {""chart_position"": 49, ""chart_date"": ""2004-07-10""}]",22,28,70
100 Years,Nancy Sinatra,"[{""chart_position"": 97, ""chart_date"": ""1968-03-23""}, {""chart_position"": 97, ""chart_date"": ""1968-03-30""}, {""chart_position"": 81, ""chart_date"": ""1968-04-06""}, {""chart_position"": 76, ""chart_date"": ""1968-04-13""}, {""chart_position"": 69, ""chart_date"": ""1968-04-20""}, {""chart_position"": 69, ""chart_date"": ""1968-04-27""}]",6,69,97
100% Pure Love,Crystal Waters,"[{""chart_position"": 89, ""chart_date"": ""1994-05-28""}, {""chart_position"": 79, ""chart_date"": ""1994-06-04""}, {""chart_position"": 67, ""chart_date"": ""1994-06-11""}, {""chart_position"": 57, ""chart_date"": ""1994-06-18""}, {""chart_position"": 47, ""chart_date"": ""1994-06-25""}, {""chart_position"": 43, ""chart_date"": ""1994-07-02""}, {""chart_position"": 36, ""chart_date"": ""1994-07-09""}, {""chart_position"": 35, ""chart_date"": ""1994-07-16""}, {""chart_position"": 36, ""chart_date"": ""1994-07-23""}, {""chart_position"": 36, ""chart_date"": ""1994-07-30""}, {""chart_position"": 32, ""chart_date"": ""1994-08-06""}, {""chart_position"": 28, ""chart_date"": ""1994-08-13""}, {""chart_position"": 28, ""chart_date"": ""1994-08-20""}, {""chart_position"": 25, ""chart_date"": ""1994-08-27""}, {""chart_position"": 21, ""chart_date"": ""1994-09-03""}, {""chart_position"": 18, ""chart_date"": ""1994-09-10""}, {""chart_position"": 18, ""chart_date"": ""1994-09-17""}, {""chart_position"": 14, ""chart_date"": ""1994-09-24""}, {""chart_position"": 13, ""chart_date"": ""1994-10-01""}, {""chart_position"": 11, ""chart_date"": ""1994-10-08""}, {""chart_position"": 11, ""chart_date"": ""1994-10-15""}, {""chart_position"": 12, ""chart_date"": ""1994-10-22""}, {""chart_position"": 12, ""chart_date"": ""1994-10-29""}, {""chart_position"": 12, ""chart_date"": ""1994-11-05""}, {""chart_position"": 13, ""chart_date"": ""1994-11-12""}, {""chart_position"": 15, ""chart_date"": ""1994-11-19""}, {""chart_position"": 15, ""chart_date"": ""1994-11-26""}, {""chart_position"": 15, ""chart_date"": ""1994-12-03""}, {""chart_position"": 15, ""chart_date"": ""1994-12-10""}, {""chart_position"": 16, ""chart_date"": ""1994-12-17""}, {""chart_position"": 19, ""chart_date"": ""1994-12-24""}, {""chart_position"": 21, ""chart_date"": ""1994-12-31""}, {""chart_position"": 26, ""chart_date"": ""1995-01-07""}, {""chart_position"": 22, ""chart_date"": ""1995-01-14""}, {""chart_position"": 26, ""chart_date"": ""1995-01-21""}, {""chart_position"": 29, ""chart_date"": ""1995-01-28""}, {""chart_position"": 29, ""chart_date"": ""1995-02-04""}, {""chart_position"": 33, ""chart_date"": ""1995-02-11""}, {""chart_position"": 34, ""chart_date"": ""1995-02-18""}, {""chart_position"": 38, ""chart_date"": ""1995-02-25""}, {""chart_position"": 46, ""chart_date"": ""1995-03-04""}, {""chart_position"": 44, ""chart_date"": ""1995-03-11""}, {""chart_position"": 48, ""chart_date"": ""1995-03-18""}, {""chart_position"": 47, ""chart_date"": ""1995-03-25""}, {""chart_position"": 50, ""chart_date"": ""1995-04-01""}]",45,11,89
100.mil',J. Cole & Bas,"[{""chart_position"": 14, ""chart_date"": ""2021-05-29""}, {""chart_position"": 80, ""chart_date"": ""2021-06-05""}]",2,14,80
100,The Game Featuring Drake,"[{""chart_position"": 90, ""chart_date"": ""2015-08-22""}, {""chart_position"": 90, ""chart_date"": ""2015-08-29""}, {""chart_position"": 98, ""chart_date"": ""2015-09-05""}, {""chart_position"": 93, ""chart_date"": ""2015-09-12""}, {""chart_position"": 91, ""chart_date"": ""2015-09-19""}, {""chart_position"": 92, ""chart_date"": ""2015-09-26""}, {""chart_position"": 90, ""chart_date"": ""2015-10-03""}, {""chart_position"": 82, ""chart_date"": ""2015-10-31""}, {""chart_position"": 88, ""chart_date"": ""2015-11-07""}, {""chart_position"": 100, ""chart_date"": ""2015-11-14""}]",10,82,100
10:35,Tiesto Featuring Tate McRae,"[{""chart_position"": 72, ""chart_date"": ""2023-02-04""}, {""chart_position"": 74, ""chart_date"": ""2023-02-11""}, {""chart_position"": 69, ""chart_date"": ""2023-02-18""}, {""chart_position"": 69, ""chart_date"": ""2023-02-25""}, {""chart_position"": 73, ""chart_date"": ""2023-03-04""}, {""chart_position"": 81, ""chart_date"": ""2023-03-11""}, {""chart_position"": 100, ""chart_date"": ""2023-03-18""}, {""chart_position"": 89, ""chart_date"": ""2023-03-25""}, {""chart_position"": 85, ""chart_date"": ""2023-04-01""}]",9,69,100
1234,Feist,"[{""chart_position"": 61, ""chart_date"": ""2007-09-29""}, {""chart_position"": 28, ""chart_date"": ""2007-10-06""}, {""chart_position"": 8, ""chart_date"": ""2007-10-13""}, {""chart_position"": 27, ""chart_date"": ""2007-10-20""}, {""chart_position"": 51, ""chart_date"": ""2007-10-27""}, {""chart_position"": 76, ""chart_date"": ""2007-11-03""}, {""chart_position"": 82, ""chart_date"": ""2007-11-10""}, {""chart_position"": 86, ""chart_date"": ""2007-11-17""}, {""chart_position"": 83, ""chart_date"": ""2007-11-24""}, {""chart_position"": 85, ""chart_date"": ""2007-12-01""}, {""chart_position"": 96, ""chart_date"": ""2007-12-08""}, {""chart_position"": 70, ""chart_date"": ""2007-12-29""}, {""chart_position"": 66, ""chart_date"": ""2008-01-05""}, {""chart_position"": 59, ""chart_date"": ""2008-01-12""}, {""chart_position"": 85, ""chart_date"": ""2008-01-19""}]",15,8,96
13 Questions,Seatrain,"[{""chart_position"": 76, ""chart_date"": ""1971-04-03""}, {""chart_position"": 71, ""chart_date"": ""1971-04-10""}, {""chart_position"": 67, ""chart_date"": ""1971-04-17""}, {""chart_position"": 66, ""chart_date"": ""1971-04-24""}, {""chart_position"": 60, ""chart_date"": ""1971-05-01""}, {""chart_position"": 56, ""chart_date"": ""1971-05-08""}, {""chart_position"": 53, ""chart_date"": ""1971-05-15""}, {""chart_position"": 51, ""chart_date"": ""1971-05-22""}, {""chart_position"": 49, ""chart_date"": ""1971-05-29""}, {""chart_position"": 49, ""chart_date"": ""1971-06-05""}, {""chart_position"": 51, ""chart_date"": ""1971-06-12""}, {""chart_position"": 51, ""chart_date"": ""1971-06-19""}]",12,49,76
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,"[{""chart_position"": 55, ""chart_date"": ""2018-11-24""}, {""chart_position"": 68, ""chart_date"": ""2018-12-01""}, {""chart_position"": 72, ""chart_date"": ""2018-12-08""}]",3,55,72
1432 Franklin Pike Circle Hero,Bobby Russell,"[{""chart_position"": 79, ""chart_date"": ""1968-10-26""}, {""chart_position"": 52, ""chart_date"": ""1968-11-02""}, {""chart_position"": 52, ""chart_date"": ""1968-11-09""}, {""chart_position"": 52, ""chart_date"": ""1968-11-16""}, {""chart_position"": 36, ""chart_date"": ""1968-11-23""}, {""chart_position"": 40, ""chart_date"": ""1968-11-30""}, {""chart_position"": 51, ""chart_date"": ""1968-12-07""}]",7,36,79
143,Bobby Brackins Featuring Ray J,"[{""chart_position"": 91, ""chart_date"": ""2010-07-03""}, {""chart_position"": 99, ""chart_date"": ""2010-07-10""}, {""chart_position"": 93, ""chart_date"": ""2010-07-17""}, {""chart_position"": 90, ""chart_date"": ""2010-07-24""}, {""chart_position"": 88, ""chart_date"": ""2010-07-31""}, {""chart_position"": 89, ""chart_date"": ""2010-08-07""}, {""chart_position"": 86, ""chart_date"": ""2010-08-14""}, {""chart_position"": 84, ""chart_date"": ""2010-08-21""}, {""chart_position"": 76, ""chart_date"": ""2010-08-28""}, {""chart_position"": 85, ""chart_date"": ""2010-09-04""}, {""chart_position"": 93, ""chart_date"": ""2010-09-11""}]",11,76,99
15 Minutes,Marc Nelson,"[{""chart_position"": 91, ""chart_date"": ""1999-10-02""}, {""chart_position"": 85, ""chart_date"": ""1999-10-09""}, {""chart_position"": 85, ""chart_date"": ""1999-10-16""}, {""chart_position"": 66, ""chart_date"": ""1999-10-23""}, {""chart_position"": 59, ""chart_date"": ""1999-10-30""}, {""chart_position"": 55, ""chart_date"": ""1999-11-06""}, {""chart_position"": 54, ""chart_date"": ""1999-11-13""}, {""chart_position"": 41, ""chart_date"": ""1999-11-20""}, {""chart_position"": 44, ""chart_date"": ""1999-11-27""}, {""chart_position"": 29, ""chart_date"": ""1999-12-04""}, {""chart_position"": 36, ""chart_date"": ""1999-12-11""}, {""chart_position"": 27, ""chart_date"": ""1999-12-18""}, {""chart_position"": 43, ""chart_date"": ""1999-12-25""}, {""chart_position"": 59, ""chart_date"": ""2000-01-01""}, {""chart_position"": 67, ""chart_date"": ""2000-01-08""}, {""chart_position"": 78, ""chart_date"": ""2000-01-15""}]",16,27,91
16 Candles,The Crests,"[{""chart_position"": 91, ""chart_date"": ""1958-11-22""}, {""chart_position"": 81, ""chart_date"": ""1958-11-29""}, {""chart_position"": 68, ""chart_date"": ""1958-12-06""}, {""chart_position"": 48, ""chart_date"": ""1958-12-13""}, {""chart_position"": 32, ""chart_date"": ""1958-12-20""}, {""chart_position"": 25, ""chart_date"": ""1958-12-27""}, {""chart_position"": 18, ""chart_date"": ""1959-01-03""}, {""chart_position"": 12, ""chart_date"": ""1959-01-10""}, {""chart_position"": 5, ""chart_date"": ""1959-01-17""}, {""chart_position"": 4, ""chart_date"": ""1959-01-24""}, {""chart_position"": 4, ""chart_date"": ""1959-01-31""}, {""chart_position"": 2, ""chart_date"": ""1959-02-07""}, {""chart_position"": 2, ""chart_date"": ""1959-02-14""}, {""chart_position"": 3, ""chart_date"": ""1959-02-21""}, {""chart_position"": 4, ""chart_date"": ""1959-02-28""}, {""chart_position"": 10, ""chart_date"": ""1959-03-07""}, {""chart_position"": 15, ""chart_date"": ""1959-03-14""}, {""chart_position"": 21, ""chart_date"": ""1959-03-21""}, {""chart_position"": 44, ""chart_date"": ""1959-03-28""}, {""chart_position"": 51, ""chart_date"": ""1959-04-04""}, {""chart_position"": 64, ""chart_date"": ""1959-04-11""}]",21,2,91
16 Carriages,Beyonce,"[{""chart_position"": 38, ""chart_date"": ""2024-02-24""}, {""chart_position"": 55, ""chart_date"": ""2024-03-02""}, {""chart_position"": 74, ""chart_date"": ""2024-03-09""}, {""chart_position"": 98, ""chart_date"": ""2024-03-16""}, {""chart_position"": 38, ""chart_date"": ""2024-04-13""}, {""chart_position"": 100, ""chart_date"": ""2024-04-20""}]",6,38,100
17 Again,Brantley Gilbert,"[{""chart_position"": 90, ""chart_date"": ""2014-05-24""}]",1,90,90
17,Rick James,"[{""chart_position"": 75, ""chart_date"": ""1984-07-14""}, {""chart_position"": 60, ""chart_date"": ""1984-07-21""}, {""chart_position"": 51, ""chart_date"": ""1984-07-28""}, {""chart_position"": 47, ""chart_date"": ""1984-08-04""}, {""chart_position"": 43, ""chart_date"": ""1984-08-11""}, {""chart_position"": 36, ""chart_date"": ""1984-08-18""}, {""chart_position"": 36, ""chart_date"": ""1984-08-25""}, {""chart_position"": 36, ""chart_date"": ""1984-09-01""}, {""chart_position"": 47, ""chart_date"": ""1984-09-08""}, {""chart_position"": 55, ""chart_date"": ""1984-09-15""}, {""chart_position"": 62, ""chart_date"": ""1984-09-22""}, {""chart_position"": 73, ""chart_date"": ""1984-09-29""}, {""chart_position"": 94, ""chart_date"": ""1984-10-06""}, {""chart_position"": 99, ""chart_date"": ""1984-10-13""}]",14,36,99
18 And Life,Skid Row,"[{""chart_position"": 91, ""chart_date"": ""1989-07-08""}, {""chart_position"": 82, ""chart_date"": ""1989-07-15""}, {""chart_position"": 58, ""chart_date"": ""1989-07-22""}, {""chart_position"": 39, ""chart_date"": ""1989-07-29""}, {""chart_position"": 32, ""chart_date"": ""1989-08-05""}, {""chart_position"": 26, ""chart_date"": ""1989-08-12""}, {""chart_position"": 20, ""chart_date"": ""1989-08-19""}, {""chart_position"": 16, ""chart_date"": ""1989-08-26""}, {""chart_position"": 13, ""chart_date"": ""1989-09-02""}, {""chart_position"": 10, ""chart_date"": ""1989-09-09""}, {""chart_position"": 8, ""chart_date"": ""1989-09-16""}, {""chart_position"": 4, ""chart_date"": ""1989-09-23""}, {""chart_position"": 6, ""chart_date"": ""1989-09-30""}, {""chart_position"": 8, ""chart_date"": ""1989-10-07""}, {""chart_position"": 19, ""chart_date"": ""1989-10-14""}, {""chart_position"": 30, ""chart_date"": ""1989-10-21""}, {""chart_position"": 42, ""chart_date"": ""1989-10-28""}, {""chart_position"": 56, ""chart_date"": ""1989-11-04""}, {""chart_position"": 74, ""chart_date"": ""1989-11-11""}, {""chart_position"": 100, ""chart_date"": ""1989-11-18""}]",20,4,100
18 Yellow Roses,Bobby Darin,"[{""chart_position"": 93, ""chart_date"": ""1963-05-11""}, {""chart_position"": 55, ""chart_date"": ""1963-05-18""}, {""chart_position"": 34, ""chart_date"": ""1963-05-25""}, {""chart_position"": 23, ""chart_date"": ""1963-06-01""}, {""chart_position"": 11, ""chart_date"": ""1963-06-08""}, {""chart_position"": 10, ""chart_date"": ""1963-06-15""}, {""chart_position"": 11, ""chart_date"": ""1963-06-22""}, {""chart_position"": 16, ""chart_date"": ""1963-06-29""}, {""chart_position"": 26, ""chart_date"": ""1963-07-06""}, {""chart_position"": 61, ""chart_date"": ""1963-07-13""}]",10,10,93
180 (Lifestyle),Morgan Wallen,"[{""chart_position"": 63, ""chart_date"": ""2023-03-18""}, {""chart_position"": 96, ""chart_date"": ""2023-03-25""}]",2,63,96
18,One Direction,"[{""chart_position"": 87, ""chart_date"": ""2014-11-29""}]",1,87,87
